urls,title,company_name,experience,location,keyskills
https://www.naukri.com/job-listings-mainframe-system-programmer-shreyas-integrated-systems-private-limited-chennai-pune-mumbai-bengaluru-bangalore-hyderabad-secunderabad-gurgaon-noida-7-to-12-years-280318501876?src=jobsearchDesk&sid=16068097113506403&xp=19&px=2,Mainframe System Programmer,Shreyas Integrated Systems Private Limited,7-12 Yrs,"Chennai, Pune, Mumbai, Bengaluru, Hyderabad, Gurgaon, Noida","JCL,SDSF,Email,Db2,Cics,Problem management,Tools,JES2"
https://www.naukri.com/job-listings-immediate-joiners-mainframe-developers-c2h-blore-chennai-hyderab-growel-softech-pvt-ltd-chennai-bengaluru-bangalore-hyderabad-secunderabad-3-to-8-years-131020605102?src=jobsearchDesk&sid=16068097113506403&xp=20&px=2,Immediate joiners - Mainframe Developers - C2H - Blore/Chennai/hyderab,Growel Softech Pvt. Ltd.,3-8 Yrs,"Chennai, Bengaluru, Hyderabad","IT Skills,Mainframe,JCL,Db2,Cics,Cobol,Mainframes"
https://www.naukri.com/job-listings-mainframes-developers-pentagon-consultancy-services-bengaluru-bangalore-hyderabad-secunderabad-3-to-8-years-230617502852?src=jobsearchDesk&sid=16068097177408224&xp=1&px=3,Mainframes Developers,Pentagon Consultancy Services,3-8 Yrs,"Bengaluru, Hyderabad","BPO,JCL,Payroll,MNC,Db2,Staffing,Cobol,business process outsourcing"
https://www.naukri.com/job-listings-mainframes-assembler-career-soft-solutions-pvt-ltd-bengaluru-bangalore-4-to-7-years-201120007770?src=jobsearchDesk&sid=16068097177408224&xp=2&px=3,Mainframes Assembler,Career Soft Solutions Pvt. Ltd.,4-7 Yrs,Bengaluru,"Cobol,Mainframe,Assembler,JCL,DB2"
https://www.naukri.com/job-listings-mainframe-storage-specialist-ibm-india-pvt-limited-bengaluru-bangalore-7-to-10-years-251120903950?src=jobsearchDesk&sid=16068097177408224&xp=3&px=3,Mainframe Storage Specialist,IBM India Pvt. Limited,7-10 Yrs,Bengaluru,"Networking,Configuration,P2V,VMAX,SRDF,Backup,Technical Support,System Administration"
https://www.naukri.com/job-listings-mainframe-developer-acenet-bengaluru-bangalore-gurgaon-5-to-10-years-290820500344?src=jobsearchDesk&sid=16068097177408224&xp=4&px=3,Mainframe Developer,AceNet,5-10 Yrs,"Bengaluru, Gurgaon","VSAM,Acf2,JCL,FTP,REXX,Social media,System programming,JES2"
https://www.naukri.com/job-listings-mainframe-developer-diverse-lynx-bengaluru-bangalore-2-to-5-years-240320501391?src=jobsearchDesk&sid=16068097177408224&xp=5&px=3,Mainframe Developer,Diverse Lynx,2-5 Yrs,Bengaluru,"IT Skills,Mainframe,JCL,Db2,Cobol"
https://www.naukri.com/job-listings-mainframe-developer-diverse-lynx-bengaluru-bangalore-2-to-7-years-180320502417?src=jobsearchDesk&sid=16068097177408224&xp=6&px=3,Mainframe Developer,Diverse Lynx,2-7 Yrs,Bengaluru,"IT Skills,Mainframe,Web services,Db2,Cics,query,Application development,Investment banking"
https://www.naukri.com/job-listings-looking-for-mainframe-testing-with-galaxe-solutions-galaxe-solutions-india-pvt-ltd-chennai-pune-delhi-ncr-bengaluru-bangalore-hyderabad-secunderabad-noida-3-to-8-years-041120001345?src=jobsearchDesk&sid=16068097177408224&xp=7&px=3,looking For Mainframe Testing with GalaxE Solutions,GALAXE. SOLUTIONS INDIA PVT LTD,3-8 Yrs,"Chennai, Pune, Delhi NCR, Bengaluru, Hyderabad, Noida","IT Skills,Testing,Oracle,Node.js,Mainframe,AWS,TSO,JCL"
https://www.naukri.com/job-listings-mainframe-developer-coralhire-technologies-pvt-ltd-bengaluru-bangalore-3-to-4-years-261018503042?src=jobsearchDesk&sid=16068097177408224&xp=8&px=3,Mainframe Developer,Coralhire Technologies Pvt. Ltd,3-4 Yrs,Bengaluru,"assembly language,JavaScript,Real Time Operating Systems,.NET,HTML,Oracle,Python"
